Start Worksheet - General Information
,,,
General Information,,,
12,1.641108,1.79675,1.872282,1.773861,1.828794,1.769284,1.762417,1.780728,1.888304,1.81735,1.831083,1.723507,1.860838,1.764706,1.842527,1.753262,1.762417,1.732662,1.803616,1.721218,1.860838,1.920348,1.771572,1.748684,1.853971,1.897459,1.785306,1.728084,1.789883,1.709773,17.518883,1.700618,0.872053,0.87892,0.883497,0.908675,0.823987,0.885786,0.833143,0.812543,0.814832,0.828565,0.835431,0.908675,0.79881,0.812543,0.826276,0.913252
13,1.647974,1.803616,1.886015,1.77615,1.840238,1.77615,1.766995,1.794461,1.908904,1.831083,1.85626,1.734951,1.869993,1.77615,1.853971,1.757839,1.771572,1.739528,1.805905,1.728084,1.869993,1.931792,1.77615,1.753262,1.872282,1.918059,1.789883,1.734951,1.799039,1.709773,18.933394,1.705196,0.872053,0.883497,0.87892,0.908675,0.826276,0.881209,0.833143,0.812543,0.812543,0.833143,0.840009,0.908675,0.803388,0.810254,0.826276,0.913252
14,1.652552,1.810483,1.897459,1.783017,1.85626,1.787594,1.778439,1.812772,1.945525,1.85626,1.895171,1.748684,1.902037,1.783017,1.872282,1.778439,1.773861,1.748684,1.815061,1.739528,1.892882,1.952392,1.787594,1.760128,1.904326,1.952392,1.801328,1.73724,1.819638,1.721218,20.270085,1.712062,0.869764,0.876631,0.885786,0.906386,0.826276,0.881209,0.828565,0.817121,0.810254,0.826276,0.83772,0.904097,0.801099,0.814832,0.821698,0.913252
15,1.659419,1.819638,1.918059,1.789883,1.886015,1.803616,1.789883,1.844816,2.005035,1.895171,1.972992,1.773861,1.947814,1.799039,1.897459,1.801328,1.783017,1.757839,1.831083,1.753262,1.91577,1.991302,1.799039,1.764706,1.963836,2.021057,1.815061,1.741817,1.849393,1.725795,21.583886,1.712062,0.872053,0.881209,0.883497,0.910964,0.826276,0.881209,0.833143,0.814832,0.814832,0.830854,0.840009,0.908675,0.805676,0.812543,0.826276,0.91783
16,1.666285,1.831083,1.952392,1.805905,1.931792,1.826505,1.815061,1.899748,2.117189,1.970703,2.1149,1.819638,2.034791,1.831083,1.954681,1.847105,1.789883,1.783017,1.853971,1.780728,1.97528,2.066835,1.81735,1.773861,2.07599,2.1355,1.83566,1.748684,1.904326,1.741817,22.826734,1.721218,0.872053,0.87892,0.883497,0.908675,0.826276,0.885786,0.828565,0.817121,0.812543,0.830854,0.840009,0.906386,0.803388,0.812543,0.823987,0.915541
17,1.675441,1.849393,2.01648,1.828794,2.014191,1.863127,1.851682,2.002747,2.327764,2.105745,2.37583,1.897459,2.19501,1.87686,2.053101,1.924926,1.799039,1.815061,1.892882,1.826505,2.073701,2.206455,1.847105,1.778439,2.279698,2.348363,1.87686,1.75555,2.002747,1.762417,24.005493,1.721218,0.874342,0.881209,0.881209,0.910964,0.826276,0.883497,0.835431,0.812543,0.814832,0.833143,0.835431,0.910964,0.79881,0.810254,0.828565,0.910964
18,1.69604,1.879149,2.144656,1.863127,2.183566,1.934081,1.922637,2.201877,2.723735,2.362097,2.8542,2.050813,2.492561,1.97528,2.243076,2.069123,1.821927,1.879149,1.954681,1.920348,2.263676,2.465095,1.908904,1.789883,2.659648,2.753491,1.950103,1.75555,2.197299,1.79675,25.111009,1.723507,0.874342,0.876631,0.883497,0.908675,0.823987,0.881209,0.830854,0.817121,0.810254,0.830854,0.840009,0.906386,0.803388,0.812543,0.826276,0.915541
19,1.730373,1.93637,2.380407,1.934081,2.497139,2.071412,2.053101,2.577249,3.430991,2.838178,3.694209,2.341497,3.039597,2.160678,2.59556,2.348363,1.85626,1.99588,2.089723,2.094301,2.620737,2.948043,2.018769,1.810483,3.33257,3.47219,2.092012,1.771572,2.556649,1.85626,26.232547,1.728084,0.869764,0.883497,0.881209,0.910964,0.828565,0.885786,0.833143,0.812543,0.814832,0.833143,0.83772,0.908675,0.803388,0.810254,0.826276,0.915541
20,1.789883,2.050813,2.824445,2.064546,3.071641,2.325475,2.304875,3.247883,4.602884,3.671321,5.005722,2.867933,3.975738,2.497139,3.227283,2.863355,1.918059,2.220188,2.343786,2.417029,3.266194,3.794919,2.222477,1.840238,4.442664,4.646372,2.352941,1.789883,3.206683,1.982147,27.28542,1.732662,0.872053,0.881209,0.883497,0.908675,0.828565,0.883497,0.833143,0.817121,0.814832,0.830854,0.840009,0.908675,0.803388,0.812543,0.828565,0.915541
21,1.908904,2.247654,3.591211,2.311742,4.044404,2.787823,2.769512,4.344244,6.28748,4.991989,6.749828,3.762875,5.383383,3.103685,4.280156,3.737697,2.032502,2.639048,2.801556,2.996109,4.344244,5.122454,2.602426,1.895171,6.024262,6.312657,2.840467,1.826505,4.298466,2.213321,28.253605,1.741817,0.872053,0.881209,0.885786,0.908675,0.826276,0.885786,0.830854,0.817121,0.812543,0.826276,0.840009,0.906386,0.801099,0.814832,0.823987,0.913252
