peak1_mu,peak1_amp,peak1_sigma,peak2_mu,peak2_amp,peak2_sigma,delta_mu_12,amp_ratio_12,total_area,asym_0p5C,best_K,total_amp,Species
76.84706624418357,0.8859242113711308,1.9686992975574393,79.41552270242468,0.4108134912731324,0.389886332278313,-2.5684564582411156,2.156511967192444,4.773344495003705,0.03616428052406073,2,1.296737702644263,Atlantic Sharpnose shark
77.40696644323488,0.6723242440638147,2.0044890476216146,0.0,0.0,0.0,77.40696644323488,1000000000.0,3.3780991634186237,-0.27946758160657537,1,0.6723242440638147,Blackchin guitarfish
77.56956516959134,0.658600153360399,2.061511426514219,0.0,0.0,0.0,77.56956516959134,1000000000.0,3.4032786404346314,-0.3574685604059886,1,0.658600153360399,Blackchin guitarfish
77.576894512398,0.6655243404903852,2.017390027556266,0.0,0.0,0.0,77.576894512398,1000000000.0,3.36545468745569,-0.3520364005321369,1,0.6655243404903852,Blackchin guitarfish
77.52369393605984,0.6669174372394039,1.968125607562393,0.0,0.0,0.0,77.52369393605984,1000000000.0,3.2901433386303016,-0.35235809555505404,1,0.6669174372394039,Blackchin guitarfish
77.51050323338774,0.6709171242422397,1.9416820853949555,0.0,0.0,0.0,77.51050323338774,1000000000.0,3.265404107117998,-0.3517217952073205,1,0.6709171242422397,Blackchin guitarfish
77.51846969835745,0.6782514160364373,1.9245827766562118,0.0,0.0,0.0,77.51846969835745,1000000000.0,3.2720297087411097,-0.328959678273651,1,0.6782514160364373,Blackchin guitarfish
77.51736507432005,0.6652977813827675,1.9803934069862632,0.0,0.0,0.0,77.51736507432005,1000000000.0,3.302611441954071,-0.34610512830651285,1,0.6652977813827675,Blackchin guitarfish
77.49641177872478,0.655964739366967,2.0818464413769813,0.0,0.0,0.0,77.49641177872478,1000000000.0,3.423096336005691,-0.32513459239542153,1,0.655964739366967,Blackchin guitarfish
77.88079281046663,1.0188395761767555,1.2458716087784867,0.0,0.0,0.0,77.88079281046663,1000000000.0,3.1817718106520534,-0.03129674851732722,1,1.0188395761767555,Blacknose shark
77.82247997377381,1.0108588462645793,1.2640147818261502,0.0,0.0,0.0,77.82247997377381,1000000000.0,3.202820525145741,-0.03095915470870103,1,1.0108588462645793,Blacknose shark
77.6549536645817,1.016277324548099,1.5697888688050707,0.0,0.0,0.0,77.6549536645817,1000000000.0,3.9989264363990302,0.011323305383804882,1,1.016277324548099,Blacknose shark
77.75280844841495,1.0225571434161518,1.2138550149513712,0.0,0.0,0.0,77.75280844841495,1000000000.0,3.1113175453879185,-0.028763021819527834,1,1.0225571434161518,Blacknose shark
77.71499578160406,1.0122841769883195,1.2675949111740619,0.0,0.0,0.0,77.71499578160406,1000000000.0,3.2164208569752013,-0.030592778830673018,1,1.0122841769883195,Blacknose shark
