Species,ymax,tmax,auc,centroid,fwhm,decay,auc_left,auc_right,asym,mean,max,min_z,rise_log,std_log
Blacktip shark,0.051084317,77.97,0.136488378,77.71914068,2.45,1.482042634,0.071144633,0.065343745,-0.042500966,0.012861786,0.065967602,0.261645792,1.243862486,0.014367407
Blacktip shark,0.035264618,77.94,0.100441901,77.53494618,2.64,1.48575914,0.057674668,0.042767233,-0.148418491,0.010060882,0.047313976,0.015804862,1.385299768,0.010755955
Blacktip shark,0.048731913,77.89,0.1329435,77.74224084,2.48,1.540817053,0.067546861,0.065396638,-0.016173961,0.012517993,0.062344055,-1.892094865,1.262226436,0.013489111
Blacktip shark,0.050046972,77.98,0.136691707,77.727707,2.5,1.444492579,0.073644993,0.063046714,-0.077534179,0.012276557,0.063958261,-1.050239412,1.286321111,0.014067335
Blacktip shark,0.049414445,77.97,0.125718633,77.76535417,2.32,1.433581747,0.065848644,0.059869989,-0.047555844,0.011254496,0.063046722,0.469879328,1.228942479,0.013674584
Blacktip shark,0.057133914,77.94,0.151019672,77.77538243,2.41,1.486134188,0.077790082,0.07322959,-0.030198,0.013219872,0.071968896,0.606164347,1.248051179,0.015548257
Blacktip shark,0.047614436,77.92,0.128841044,77.6811395,2.5,1.483567324,0.06924621,0.059594834,-0.074909168,0.011543245,0.060827394,0.801284045,1.270779565,0.013390679
Blacktip shark,0.04942563,77.88,0.127954601,77.63257374,2.37,1.464873352,0.06673645,0.06121815,-0.043127013,0.011167529,0.062560223,-1.307077023,1.232719415,0.013579827
Blacktip shark,0.04259887,77.84,0.107540712,77.52292812,2.29,1.41509726,0.056946027,0.050594685,-0.059059884,0.010048505,0.055179615,0.516540354,1.220114998,0.012000049
Blacktip shark,0.051755105,77.8,0.132284907,77.60075353,2.32,1.44765448,0.068603358,0.063681549,-0.03720613,0.011700978,0.065682319,0.857054418,1.235684992,0.014193703
Blacktip shark,0.045566989,77.73,0.12169259,77.50008889,2.43,1.480304812,0.064129755,0.057562835,-0.053963189,0.011411579,0.0588313,0.753313724,1.258277658,0.01284419
Blacktip shark,0.032476433,77.84,0.080158659,77.57269928,2.26,1.378516775,0.042243939,0.03791472,-0.054008125,0.008185825,0.043330971,-2.009527437,1.208602453,0.009519543
Blacktip shark,0.053347675,77.86,0.138535072,77.64681491,2.36,1.470352589,0.071034865,0.067500208,-0.02551453,0.012076157,0.067273565,-0.968276185,1.237843927,0.014524889
Blacktip shark,0.047609707,77.8,0.13051843,77.6201328,2.44,1.516020421,0.06513356,0.065384869,0.001925467,0.013361634,0.062342464,0.616979955,1.262354735,0.013508316
Blacktip shark,0.043739703,77.64,0.112680117,77.37301889,2.37,1.438980064,0.060458818,0.0522213,-0.073105336,0.010611511,0.05683968,0.622955352,1.233803532,0.012434043
Blue shark,0.037852263,77.12,0.106292702,76.82096626,2.86,1.069936795,0.059964666,0.046328036,-0.128293199,0.009679353,0.050060894,0.618442465,1.181709888,0.011816009
Blue shark,0.039052029,77.23,0.110799272,76.94030712,2.89,1.047214611,0.062405984,0.048393289,-0.126469193,0.00973676,0.050994038,0.569239457,1.191985501,0.012038127
Blue shark,0.039180513,77.14,0.110899511,76.85456073,2.86,1.073993341,0.062382238,0.048517273,-0.125022776,0.009343446,0.050307736,0.463611429,1.199265836,0.011774773
Blue shark,0.032950689,77.11,0.091565706,76.8443585,2.85,1.144546215,0.051428357,0.040137349,-0.123310452,0.008259791,0.043419335,0.331985548,1.170471841,0.010222611
Blue shark,0.03356885,77.04,0.093252797,76.76682604,2.86,1.114276087,0.05260977,0.040643027,-0.128325843,0.008733954,0.045051439,0.443414865,1.167742234,0.010692196
Blue shark,0.037264802,77.1,0.10590308,76.82056448,2.89,1.058065837,0.059248702,0.046654378,-0.118923119,0.009660329,0.0492001,-0.849381104,1.199261289,0.011607623
Blue shark,0.040799662,77.08,0.115338854,76.78891593,2.87,1.082978401,0.064380059,0.050958795,-0.116363768,0.009996027,0.053094095,-1.822834581,1.191735993,0.01250677
Blue shark,0.034646103,77.17,0.096643512,76.91794599,2.87,1.20701455,0.053818432,0.042825079,-0.113751587,0.00885319,0.045727968,-1.685706878,1.174017499,0.010739512
